#year,Attendees,fails,PR,PRMerged,Applications
2014,2,0,0,0,0,0
2015,5,0,0,0,0,0
2016,6,1,0,0,0,0
2017,6,2,37,33,0
2018,7,3,15,13,18
2020,5,0,28,25,15
2021,2,0,13,7,5
